,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_class_weight,params,mean_test_score,std_test_score,rank_test_score
93,0.3128204846382141,0.03277616746023088,0.014983294010162353,0.0027320487280153593,100,23,60,auto,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 23, 'min_samples_leaf': 60, 'max_features': 'auto', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5989899380804953,0.0325977898694777,11
49,0.290623722076416,0.015352913029892295,0.013974614143371582,0.0025035451743180507,100,17,60,log2,20,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 17, 'min_samples_leaf': 60, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5989899380804953,0.0325977898694777,11
34,0.26260986089706423,0.02729442683963912,0.013968787193298339,0.005080557141522004,90,15,58,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 90, 'min_samples_split': 15, 'min_samples_leaf': 58, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5989331785345717,0.031482357401954916,13
77,0.2751762771606445,0.015526884764311903,0.013903207778930664,0.0019108113081629278,100,23,57,log2,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 100, 'min_samples_split': 23, 'min_samples_leaf': 57, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5989164086687306,0.03219250855357442,14
67,0.30974363088607787,0.01094524488344578,0.015889027118682862,0.0014831196152796729,120,23,60,log2,20,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 23, 'min_samples_leaf': 60, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986764705882353,0.031322143872066985,15
51,0.313760085105896,0.016384989343396644,0.01613361597061157,0.002176223684049559,120,21,60,log2,30,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 120, 'min_samples_split': 21, 'min_samples_leaf': 60, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986764705882353,0.031322143872066985,15
14,0.4169198560714722,0.013451875770521309,0.019474971294403075,0.0017523046058282932,150,21,59,log2,35,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 150, 'min_samples_split': 21, 'min_samples_leaf': 59, 'max_features': 'log2', 'max_depth': 35, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986674406604747,0.03146210864683518,17
90,0.31449657440185547,0.028050420972625903,0.015784273147583006,0.0026139195068883283,110,17,60,log2,40,gini,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 110, 'min_samples_split': 17, 'min_samples_leaf': 60, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986274509803922,0.030908256752134895,18
65,0.23470079898834229,0.011820718620496386,0.011788227558135987,0.0024015154465443405,80,17,55,auto,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 17, 'min_samples_leaf': 55, 'max_features': 'auto', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986055211558308,0.030309217677734385,19
61,0.24289092063903808,0.022513028590064467,0.012028257846832275,0.002191892361996525,80,23,55,log2,25,entropy,"{1: 0.7832436587240584, 0: 0.2167563412759416}","{'n_estimators': 80, 'min_samples_split': 23, 'min_samples_leaf': 55, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'entropy', 'class_weight': {1: 0.7832436587240584, 0: 0.2167563412759416}}",0.5986055211558308,0.030309217677734385,19
